YrQtr,R1N,R1S,R2,R3
2003.25,1.127982054,1.100070976,0.474572345,0.748587184
2003.5,0.421689901,0.784120488,0.573868002,1.157756967
2003.75,0.327533753,0.737436051,1.002265797,1.034319799
2004,0.390215668,0.683473837,0.708783348,1.065883956
2004.25,0.639151627,0.749832511,0.640650708,0.678617005
2004.5,0.759420918,0.541508835,0.551771995,1.341968841
2004.75,0.336823587,0.779167672,1.042867477,1.099662854
2005,0.982426819,1.063069895,0.939736279,0.624992917
2005.25,0.857824566,0.639456477,0.782096118,0.705027248
2005.5,0.60260307,0.569440492,0.580829979,1.004900812
2005.75,0.304832653,0.508868343,0.563948735,0.664359531
2006,0.783954446,1.099311039,0.640035883,0.557490849
2006.25,0.659501855,0.453645063,0.578321085,0.497806699
2006.5,0.561092828,0.655814302,0.908157907,1.026349451
2006.75,0.867658382,0.735485596,0.976334301,0.86988184
2007,0.663115296,0.973857515,0.773243896,0.585944423
2007.25,0.734332445,0.694783985,0.596799958,0.64587703
2007.5,1.14632,0.810298148,0.660745868,0.982524265
2007.75,0.863784087,1.044611371,1.011868048,0.612253068
2008,0.689465535,0.714266767,0.628958048,0.605519858
2008.25,0.781124247,0.509231031,0.554823166,0.555630509
2008.5,0.849339668,0.757125091,0.665443441,0.892026286
2008.75,0.779559249,1.202181818,0.914995714,0.641282248
2009,0.518125359,0.712608498,0.559944918,0.57428287
2009.25,0.794976273,0.5598652,0.555968284,0.707479158
2009.5,0.774093846,0.667604996,0.655366243,0.865134783
2009.75,0.408650936,0.864235403,0.603598348,0.451197922
2010,0.641835544,0.563837418,0.45956817,0.551881227
2010.25,1.151620385,0.516139758,0.439348998,0.529506243
2010.5,0.397259339,0.722164659,0.835127929,1.143514232
2010.75,NA,0.782352038,0.66701376,0.892664221
2011,0.880243872,0.374570258,0.445320213,1.072509667
2011.25,4.079407791,0.774968605,0.658047447,0.995097066
2011.5,0.581723241,0.741132581,0.972210006,1.305759168
2011.75,2.121977528,1.071457147,0.993593516,0.713553431
2012,1.925479803,0.826625554,0.680024473,0.637012932
2012.25,1.336291896,1.039527734,0.459220482,1.080180198
2012.5,0.879284311,0.908059273,0.620247214,1.160926985
2012.75,0.963733413,1.247784853,0.586404704,0.713774897
2013,0.600597752,0.904824867,0.572460308,0.677082137
2013.25,0.750615237,0.456245514,0.631845584,0.724768306
2013.5,0.450339655,0.564670886,0.831164686,0.793355402
2013.75,1.316566473,0.923644317,1.265043948,0.414908305
2014,0.262199359,0.520667675,0.426524163,0.510781445
2014.25,0.582329632,0.345775419,0.194939422,0.428640208
2014.5,0.522052338,0.432789186,0.651153616,0.9129741
2014.75,0.716678661,0.819190428,0.581570435,0.646874205
2015,0.244530244,0.366540626,0.437780377,0.610344375
2015.25,0.468607056,0.307308946,0.460746952,0.678148466
2015.5,0.342201742,0.459018779,0.907581061,0.747984865
2015.75,0.276704526,0.600242779,0.64534577,0.481378101
2016,0.159263206,0.39189161,0.448238518,0.41026533
2016.25,0.357797606,0.299981759,0.305108313,0.735476874
2016.5,0.198463012,0.287764883,0.516855739,0.776516919
2016.75,0.761213214,0.558443455,0.723453679,0.790870586
2017,0.163621486,0.325165531,0.322898249,0.549992884
2017.25,0.215674528,0.200325539,0.572102245,0.6187381
2017.5,0.151845421,0.259206526,0.372452197,0.742177066
2017.75,0.179196774,0.386546834,0.575565045,0.633162535
2018,0.141743584,0.200429116,0.470075132,0.375302856
2018.25,0.218658348,0.247398156,0.522106337,0.483072395
2018.5,0.151514267,0.253316158,0.495911207,0.590035743
2018.75,0.075506887,0.313916365,0.645248199,0.646039076
2019,0.177250909,0.477082989,0.606814229,0.420319274
2019.25,0.42079934,0.330597011,0.713210171,0.349760147
2019.5,0.381792331,0.41705259,0.976794449,0.693781906
2019.75,0.336841749,0.592772766,0.736970383,0.723881024
2020,0.654912428,0.736290555,0.525096633,0.826162326
2020.25,0.473435349,0.539129272,0.383375741,0.7363885
2020.5,0.706819167,0.38217759,0.780790644,0.715508998
2020.75,0.193805456,0.559052054,0.849814994,0.592809773
2021,0.150943723,0.379098302,0.648500409,0.41751391
2021.25,0.530727719,0.213806005,0.366054287,0.577943075
2021.5,0.468062374,0.471041843,0.430048777,0.842698396
2021.75,0.269727782,0.486901982,0.507746154,0.300427693
