"","yr","qtr","pr"
"1","1979","0.375",1.55923265953265
"2","1980","0.375",1.4276853190983
"3","1981","0.375",1.05731038734861
"4","1982","0.375",1.34787105156932
"5","1983","0.375",1.28035329820671
"6","1984","0.375",1.27200401794851
"7","1985","0.375",0.996847235597461
"8","1986","0.375",0.83352318182822
"9","1987","0.375",1.10236064881442
"10","1988","0.375",0.974557111336481
"11","1989","0.375",0.702932374038313
"12","1990","0.375",0.728530458700445
"13","1991","0.375",0.691525369561435
"14","1992","0.375",0.625585708371427
"15","1993","0.375",0.931384331624064
"16","1994","0.375",1.09804049021002
"17","1995","0.375",1.0576518441025
"18","1996","0.375",1.11426245009786
"19","1997","0.375",1.07694397784946
"20","1998","0.375",1.42446011698415
"21","1999","0.375",1.38023640447457
"22","2000","0.375",1.26558570286951
"23","2001","0.375",1.00495510007111
"24","2002","0.375",0.949528423130798
"25","2003","0.375",0.724604946384702
"26","2004","0.375",1.12906221550768
"27","2005","0.375",0.735247342542781
"28","2006","0.375",0.768847258808354
"29","2007","0.375",0.746922969838564
"30","2008","0.375",0.729379430309446
"31","2009","0.375",0.872648896677437
"32","2010","0.375",1.06965412369354
"33","2011","0.375",1.37825686786641
"34","2012","0.375",1.26646004417831
"35","2013","0.375",0.81477158247859
"36","2014","0.375",0.601760768551225
"37","2015","0.375",1.15441964656124
"38","2016","0.375",0.514266659454777
"39","2017","0.375",0.511281220010525
"40","2018","0.375",0.418167042935226
