"","yr","qtr","pr"
"1","1979","0.375",2.2062873879995
"2","1980","0.375",2.20963840513024
"3","1981","0.375",2.11884283193257
"4","1982","0.375",2.03087067857179
"5","1983","0.375",1.96220894473953
"6","1984","0.375",1.79281796714219
"7","1985","0.375",1.76742478526128
"8","1986","0.375",1.74090718409755
"9","1987","0.375",1.4617108356549
"10","1988","0.375",1.82976091806257
"11","1989","0.375",1.24503739030075
"12","1990","0.375",1.47836663626269
"13","1991","0.375",1.14912916539289
"14","1992","0.375",1.35421284429079
"15","1993","0.375",1.40088880659021
"16","1994","0.375",1.5537754057383
"17","1995","0.375",1.40074479145266
"18","1996","0.375",1.50379013998583
"19","1997","0.375",1.07378327756548
"20","1998","0.375",1.19910894247737
"21","1999","0.375",1.20608080027016
"22","2000","0.375",1.07281931610357
"23","2001","0.375",0.921339568650751
"24","2002","0.375",0.860686213986612
"25","2003","0.375",0.760484257219304
"26","2004","0.375",0.857300294080554
"27","2005","0.375",0.87483633538571
"28","2006","0.375",0.88133476990022
"29","2007","0.375",0.97377063832515
"30","2008","0.375",0.956597807069998
"31","2009","0.375",0.78185907221555
"32","2010","0.375",0.95457183090274
"33","2011","0.375",1.50450811137077
"34","2012","0.375",1.29696666548269
"35","2013","0.375",0.835060762605044
"36","2014","0.375",0.658513680959098
"37","2015","0.375",0.54305872592947
"38","2016","0.375",0.522186427800754
"39","2017","0.375",0.459670542737475
"40","2018","0.375",0.411910581940683
